"","carat","length","width","depth","cut","color","clarity","fdepth","table"
"39",0.7,5.57,5.61,3.51,"Good","F","VS1",62.8,61
"40",0.32,4.37,4.34,2.73,"Premium","I","SI1",62.7,58
"41",0.3,4.26,4.2,2.7,"Good","H","SI1",63.8,55
"42",0.34,4.48,4.52,2.78,"Ideal","I","VS1",61.8,55
"43",0.7,5.64,5.72,3.54,"Very Good","F","VS2",62.3,58
"44",0.76,5.88,5.85,3.62,"Ideal","E","SI1",61.7,57
"45",0.95,6.62,6.53,3.68,"Fair","F","SI2",56,60
"46",0.83,6.04,6,3.76,"Ideal","H","SI1",62.5,55
"47",0.9,6.2,6.16,3.88,"Ideal","J","VS2",62.8,55
"48",0.7,5.69,5.64,3.5,"Premium","F","VS2",61.8,60
"49",0.53,5.2,5.21,3.22,"Ideal","E","VVS1",61.9,55
"50",0.72,5.77,5.7,3.58,"Premium","E","VS2",62.4,59
"51",0.71,5.86,5.83,3.52,"Ideal","D","SI1",60.2,56
"52",0.79,5.86,5.9,3.69,"Very Good","D","SI2",62.8,59
"53",0.82,6.05,6.03,3.67,"Premium","E","SI2",60.8,60
"54",0.7,5.66,5.6,3.5,"Premium","E","VS1",62.2,58
"55",0.7,5.66,5.7,3.54,"Ideal","H","VVS1",62.3,55
"56",0.77,5.84,5.89,3.62,"Very Good","H","SI1",61.7,56
"57",0.79,5.93,5.91,3.66,"Ideal","G","SI1",61.8,56
"58",0.7,5.77,5.8,3.45,"Very Good","D","VS2",59.6,61
"59",0.9,6.17,6.14,3.9,"Very Good","J","SI1",63.4,54
"60",0.71,5.6,5.65,3.53,"Good","E","VS2",62.8,60
"61",0.7,5.83,5.79,3.45,"Premium","F","VS2",59.4,61
"62",0.71,5.82,5.8,3.43,"Premium","F","VS1",59,60
"63",0.77,5.9,5.87,3.59,"Very Good","H","VS1",61,60
"64",0.82,6,6.12,3.74,"Ideal","F","SI2",61.7,53
"65",0.7,5.8,5.72,3.38,"Premium","F","VS2",58.7,61
"66",0.71,5.81,5.78,3.52,"Ideal","G","VVS2",60.7,57
"67",0.79,5.96,5.91,3.65,"Ideal","D","SI1",61.5,56
"68",0.77,5.94,5.89,3.63,"Premium","G","VS1",61.4,58
"69",0.7,5.69,5.79,3.49,"Ideal","F","VS2",60.8,59
"70",0.74,5.85,5.86,3.59,"Ideal","G","SI1",61.3,55
"71",0.7,5.64,5.7,3.54,"Very Good","E","VS1",62.4,56
"72",1.03,6.38,6.29,4.03,"Good","J","SI1",63.6,57
"73",0.26,4.05,4.08,2.53,"Ideal","E","VS1",62.3,57
"74",0.31,4.36,4.41,2.7,"Ideal","I","VVS1",61.6,55
"75",0.33,4.43,4.4,2.75,"Premium","F","SI2",62.3,58
"76",1,6.21,5.97,4.04,"Fair","H","SI2",66.1,56
"77",0.81,6,6.05,3.72,"Very Good","F","SI1",61.7,57
"78",0.9,6.06,6,3.89,"Fair","G","SI2",64.5,56
"79",0.9,6.07,6.1,3.87,"Very Good","J","SI2",63.6,58
"80",0.66,5.67,5.57,3.43,"Premium","D","VS1",61,58
"81",1.22,6.93,6.88,4.21,"Premium","E","I1",60.9,57
"82",0.71,5.75,5.7,3.53,"Ideal","D","SI1",61.7,57
"83",0.81,6.07,6.04,3.65,"Ideal","E","SI2",60.3,57
"84",0.71,5.78,5.81,3.5,"Ideal","H","VVS1",60.4,57
"85",0.72,5.72,5.75,3.58,"Ideal","I","VS1",62.4,55
"86",0.83,6,6.05,3.75,"Ideal","E","SI2",62.2,57
"87",0.9,6.13,6.03,3.82,"Premium","J","SI1",62.8,59
"88",0.7,5.72,5.75,3.48,"Ideal","D","SI1",60.7,56
"89",0.9,6.03,6,3.95,"Fair","I","SI1",65.7,58
"90",0.7,5.67,5.63,3.49,"Premium","G","VVS2",61.8,58
"91",0.73,5.68,5.75,3.58,"Premium","E","VS1",62.6,60
"92",0.71,5.76,5.78,3.55,"Ideal","I","VS2",61.5,55
"93",0.72,5.76,5.73,3.56,"Ideal","F","VS1",62,56
"94",0.73,5.97,5.92,3.49,"Premium","F","VS2",58.7,57
"95",0.73,5.79,5.81,3.56,"Ideal","E","SI1",61.4,56
"96",0.5,5.08,5.12,3.17,"Ideal","E","VVS2",62.2,54
"97",0.71,5.71,5.79,3.52,"Very Good","E","VS2",61.2,58
"98",0.71,5.73,5.75,3.53,"Ideal","G","VVS2",61.5,57
"99",0.71,5.75,5.78,3.51,"Very Good","G","VS2",60.9,56
"100",0.77,5.94,5.88,3.6,"Premium","E","SI1",60.9,58
"101",0.75,5.83,5.8,3.62,"Ideal","D","SI1",62.3,55
"102",0.7,5.71,5.72,3.54,"Very Good","F","SI1",61.9,58
"103",0.71,5.85,5.8,3.47,"Premium","E","VS2",59.6,60
"104",0.7,5.78,5.82,3.44,"Very Good","G","VVS2",59.3,62
"105",0.8,5.92,5.95,3.69,"Ideal","I","VS1",62.2,58
"106",0.33,4.46,4.41,2.79,"Ideal","G","SI2",62.9,55
"107",0.31,4.35,4.32,2.7,"Premium","I","VS2",62.3,57
"108",0.31,4.34,4.32,2.63,"Premium","I","VS2",60.7,61
"109",0.82,5.9,5.95,3.77,"Very Good","H","SI1",63.6,56
"110",0.71,5.76,5.8,3.5,"Ideal","G","VS2",60.6,56
"111",0.71,5.75,5.79,3.54,"Premium","D","SI1",61.4,58
"112",0.73,5.76,5.8,3.55,"Ideal","E","SI1",61.4,58
"113",0.71,5.82,5.87,3.48,"Very Good","F","VS2",59.5,58
"114",0.73,5.83,5.77,3.59,"Ideal","G","VVS2",61.9,55
"115",0.9,6.04,5.98,3.85,"Fair","I","VS2",64.1,66
"116",0.75,5.82,5.86,3.59,"Very Good","E","SI1",61.5,58
"117",0.51,5.03,5.08,3.2,"Very Good","E","IF",63.3,58
"118",0.7,5.72,5.76,3.52,"Very Good","F","VS2",61.3,54
"119",0.71,5.69,5.73,3.58,"Ideal","G","VS1",62.7,57
"120",0.7,5.66,5.6,3.56,"Very Good","F","VVS2",63.2,58
"121",0.8,5.92,5.86,3.65,"Premium","H","VS1",62,60
"122",0.71,5.65,5.67,3.55,"Very Good","H","VVS1",62.7,59
"123",0.8,6.03,5.96,3.59,"Premium","E","SI2",59.9,58
"124",0.7,5.73,5.68,3.51,"Ideal","E","VS2",61.5,56
"125",0.72,5.77,5.75,3.57,"Ideal","F","VS2",62,56
"126",0.72,5.7,5.73,3.57,"Ideal","H","VVS1",62.5,57
"127",0.74,5.83,5.86,3.57,"Ideal","I","VS1",61.1,57
"128",1,6.28,6.16,4.09,"Fair","E","SI2",65.8,58
"129",0.72,5.65,5.68,3.55,"Very Good","D","VS1",62.7,58
"130",0.7,5.7,5.73,3.54,"Ideal","E","VS2",61.9,58
"131",0.72,5.75,5.8,3.53,"Premium","E","VS2",61.1,59
"132",0.91,6.14,6.19,3.87,"Very Good","J","SI1",62.8,59
"133",0.56,5.36,5.42,3.24,"Very Good","D","VVS1",60.1,58
"134",0.72,5.77,5.81,3.55,"Ideal","G","VS2",61.3,56
"135",0.72,5.8,5.82,3.55,"Ideal","H","VS1",61.1,57
"136",0.91,6.38,6.32,3.72,"Very Good","E","SI2",58.6,63
"137",0.9,6.12,6.05,3.78,"Premium","J","VS1",62.1,62
"138",0.7,5.73,5.79,3.51,"Ideal","G","SI1",60.9,56
"139",0.31,4.43,4.39,2.68,"Premium","E","SI2",60.8,61
"140",0.24,4.01,4.03,2.49,"Ideal","G","VVS1",62,55
"141",0.32,4.42,4.45,2.74,"Ideal","G","VS1",61.8,55
"142",0.75,5.89,5.93,3.56,"Very Good","E","SI1",60.2,60
"143",0.78,5.91,5.85,3.68,"Premium","E","VS2",62.6,57
"144",0.75,5.83,5.86,3.64,"Ideal","G","VS1",62.3,57
"145",0.7,5.69,5.72,3.54,"Very Good","F","VS1",62.1,57
"146",0.71,5.75,5.77,3.5,"Very Good","G","VVS2",60.8,58
"147",0.86,6.12,6.15,3.79,"Premium","F","SI2",61.8,58
"148",0.71,5.86,5.83,3.48,"Ideal","E","VS2",59.5,57
"149",0.8,5.92,5.98,3.69,"Ideal","I","VS1",61.9,54.1
"150",0.83,6.03,6,3.69,"Premium","D","SI1",61.3,58
"151",0.87,6.15,6.19,3.77,"Very Good","H","SI2",61,56
"152",1.24,6.92,6.85,4.26,"Premium","J","I1",61.9,55
"153",0.7,5.69,5.75,3.59,"Ideal","D","VS2",62.8,57
"154",0.7,5.77,5.69,3.47,"Premium","G","VVS2",60.6,60
"155",0.7,5.66,5.61,3.47,"Premium","D","VS1",61.6,61
"156",0.72,5.78,5.77,3.56,"Ideal","G","VVS2",61.6,55
"157",0.78,5.95,5.97,3.61,"Ideal","G","SI1",60.6,57
"158",0.71,5.8,5.76,3.53,"Premium","E","VS1",61.1,58
"159",0.71,5.72,5.77,3.53,"Ideal","G","SI1",61.4,56
"160",0.74,5.8,5.84,3.57,"Very Good","E","SI1",61.3,58
"161",0.61,5.43,5.47,3.38,"Ideal","E","VVS2",62,54
"162",0.82,6,5.97,3.72,"Ideal","E","SI2",62.2,57
"163",0.9,6.08,6.05,3.77,"Premium","D","SI1",62.2,60
"164",0.72,5.7,5.73,3.55,"Very Good","D","VS2",62.1,59
"165",0.7,5.72,5.74,3.5,"Ideal","G","VS1",61.1,56
"166",0.77,5.85,5.81,3.64,"Premium","F","VS2",62.4,59
"167",0.75,5.9,5.79,3.63,"Premium","E","VS2",62.1,57
"168",0.65,5.69,5.74,3.3,"Very Good","D","VVS2",57.7,60
"169",0.8,5.96,5.99,3.71,"Ideal","H","VS2",62.1,54
"170",0.52,5.17,5.21,3.17,"Ideal","E","IF",61.1,57
"171",0.71,5.83,5.86,3.48,"Ideal","E","VS2",59.5,57
"172",0.32,4.34,4.35,2.75,"Good","E","SI1",63.3,56
"173",0.32,4.4,4.46,2.72,"Ideal","G","VS2",61.4,55
"174",0.32,4.38,4.44,2.72,"Premium","H","VS1",61.7,58
"175",0.72,5.72,5.75,3.57,"Ideal","E","SI1",62.2,58
"176",0.71,5.73,5.77,3.55,"Ideal","F","VS1",61.7,55
"177",0.78,5.83,5.86,3.65,"Very Good","F","SI1",62.4,58
"178",0.91,6.14,6.12,3.85,"Premium","G","SI2",62.8,59
"179",0.72,5.78,5.72,3.6,"Premium","D","SI1",62.6,54
"180",1.02,6.31,6.4,4.01,"Good","E","I1",63.1,60
"181",0.81,5.94,5.98,3.72,"Ideal","F","SI2",62.3,54
"182",1.01,6.21,6.04,4.05,"Fair","I","SI2",66.1,58
"183",0.76,5.89,5.98,3.56,"Good","F","VS1",59.9,61
"184",0.9,6.1,6.04,3.86,"Good","G","SI2",63.6,57
"185",0.9,6.01,5.96,3.93,"Fair","F","SI2",65.7,63
"186",0.7,5.72,5.75,3.53,"Ideal","F","VS2",61.6,55
"187",0.8,5.94,5.96,3.68,"Ideal","F","SI2",61.8,59
"188",0.8,6.01,5.85,3.68,"Very Good","G","SI1",62.1,56
"189",0.7,5.81,5.73,3.39,"Good","D","VS2",58,65
"190",0.76,5.87,5.9,3.63,"Ideal","I","VS2",61.7,56
"191",0.83,6.01,5.98,3.76,"Premium","D","SI2",62.7,56
"192",0.71,5.75,5.78,3.56,"Ideal","H","VS2",61.8,55
"193",0.7,5.83,5.86,3.37,"Good","D","VS2",57.7,60
"194",0.71,5.72,5.74,3.54,"Very Good","D","VS2",61.8,55
"195",0.9,6.3,6.24,3.73,"Premium","E","SI2",59.5,61
"196",0.84,6.19,6.14,3.65,"Premium","E","SI2",59.2,59
"197",0.79,5.95,5.97,3.62,"Premium","F","VS2",60.7,60
"198",0.87,6.03,6.13,3.78,"Ideal","F","SI2",62.2,56
"199",0.8,5.89,5.93,3.73,"Very Good","F","SI1",63.1,58
"200",0.71,5.65,5.68,3.57,"Very Good","D","VS2",63,58
"201",0.94,6.16,6.1,3.86,"Premium","G","SI2",63,59
"202",0.66,5.57,5.64,3.45,"Ideal","D","VVS2",61.6,57
"203",0.78,5.97,6.03,3.64,"Ideal","I","VS1",60.7,56
"204",0.9,6.08,6.03,3.84,"Very Good","H","SI2",63.4,60
"205",0.32,4.35,4.38,2.76,"Good","E","SI1",63.2,56
"206",0.32,4.36,4.39,2.76,"Good","E","SI1",63.1,56
"207",0.32,4.4,4.42,2.67,"Very Good","E","VS2",60.5,58
"208",0.76,5.79,5.76,3.64,"Premium","E","VS2",63,59
"209",0.81,5.92,5.97,3.71,"Ideal","E","SI1",62.4,57
"210",0.71,5.71,5.79,3.54,"Ideal","E","VS2",61.6,57
"211",0.86,6.02,6.05,3.85,"Very Good","H","SI1",63.8,56
"212",0.85,6.26,6.17,3.75,"Ideal","G","SI1",60.4,56
"213",0.75,5.82,5.85,3.62,"Ideal","E","VS2",62,56
"214",0.72,5.85,5.88,3.52,"Ideal","H","VS2",60.1,56
"215",0.84,6.02,6.09,3.76,"Very Good","E","SI2",62.1,58
"216",0.7,5.69,5.73,3.52,"Very Good","G","VS1",61.6,57
"217",0.74,5.82,5.85,3.57,"Ideal","I","VVS2",61.3,57
"218",0.94,6.14,6.21,3.94,"Good","I","SI2",63.8,60
"219",1,6.38,6.33,3.96,"Premium","E","I1",62.3,58
"220",1.01,6.34,6.25,3.9,"Very Good","G","SI1",62,63
"221",0.73,5.8,5.89,3.57,"Ideal","F","VS1",61.1,57
"222",1.02,6.61,6.55,3.87,"Ideal","H","SI2",58.8,57
"223",0.9,6.3,6.19,3.79,"Premium","I","VS1",60.7,58
"224",0.74,5.84,5.79,3.56,"Premium","G","VVS1",61.2,59
"225",0.73,5.67,5.69,3.62,"Good","E","VS1",63.7,59
"226",1.03,6.42,6.4,3.99,"Premium","J","SI2",62.2,59
"227",0.8,6.03,6.08,3.67,"Ideal","H","VS2",60.6,56
"228",0.7,5.7,5.73,3.5,"Ideal","F","VS1",61.2,58
"229",0.78,5.92,5.94,3.68,"Ideal","E","VS2",62.1,54
"230",0.9,6.23,6.27,3.7,"Very Good","H","SI2",59.2,61
"231",0.9,6.1,6.16,3.86,"Very Good","H","SI2",63,55
"232",0.92,6.34,6.25,3.82,"Premium","H","SI1",60.7,59
"233",0.7,5.68,5.71,3.54,"Ideal","H","IF",62.2,55
"234",0.92,6.18,6.22,3.88,"Very Good","J","SI1",62.6,58
"235",0.83,5.97,6.01,3.73,"Very Good","G","SI1",62.3,58
"236",0.7,5.64,5.67,3.52,"Ideal","E","VS2",62.2,55
"237",0.9,6.18,6.14,3.85,"Ideal","J","VS1",62.5,55
"238",0.32,4.41,4.44,2.73,"Ideal","F","SI2",61.7,56
"239",0.32,4.42,4.45,2.71,"Premium","G","VS2",61.1,58
"240",0.32,4.37,4.4,2.72,"Ideal","G","VS2",62,57
"241",0.7,5.73,5.76,3.51,"Ideal","E","VS2",61.1,56
"242",0.81,5.9,5.85,3.75,"Good","D","SI1",63.9,58
"243",0.91,6.23,6.18,3.86,"Premium","H","SI1",62.2,56
"244",0.73,5.74,5.77,3.58,"Ideal","G","VVS2",62.2,55
"245",0.7,5.66,5.7,3.5,"Ideal","H","VS1",61.7,57
"246",0.91,6.23,6.28,3.77,"Very Good","G","SI2",60.3,59
"247",1.01,6.29,6.24,4.12,"Fair","J","VS2",65.8,55
"248",0.71,5.74,5.77,3.54,"Very Good","E","VS1",61.5,57
"249",0.7,5.68,5.74,3.45,"Good","D","VS1",60.4,63
"250",0.91,6.1,6.06,3.85,"Very Good","F","SI1",63.3,60
"251",0.71,5.71,5.75,3.52,"Ideal","E","VS1",61.4,59
"252",1.02,6.41,6.39,4,"Premium","H","I1",62.5,60
"253",0.71,5.85,5.88,3.5,"Very Good","D","VS2",59.7,55
"254",0.7,5.74,5.77,3.51,"Ideal","G","VVS2",61,56
"255",0.75,5.83,5.85,3.61,"Premium","E","VS2",61.8,58
"256",0.77,5.89,5.92,3.61,"Very Good","H","VVS2",61.1,56
"257",0.7,5.71,5.64,3.49,"Premium","D","VVS2",61.5,60
"258",0.73,5.73,5.71,3.58,"Ideal","F","VS1",62.6,56
"259",0.7,5.72,5.66,3.58,"Premium","D","VS1",62.9,59
"260",0.71,5.68,5.73,3.56,"Very Good","D","VS2",62.4,59
"261",1.18,6.8,6.85,4.09,"Very Good","E","I1",59.9,63
"262",1.15,6.8,6.75,4.09,"Premium","H","SI2",60.4,58
"263",0.74,5.79,5.85,3.59,"Very Good","F","VS1",61.7,57
"264",0.74,5.77,5.72,3.6,"Premium","E","VS2",62.7,58
"265",0.79,6.08,6.05,3.6,"Premium","E","VS2",59.4,60
"266",0.71,5.7,5.74,3.56,"Ideal","H","IF",62.2,57
"267",0.73,5.73,5.76,3.59,"Ideal","E","VS1",62.5,57
"268",0.91,6.19,6.22,3.85,"Very Good","G","SI2",62,59
"269",0.77,5.9,5.95,3.55,"Very Good","D","SI1",59.9,59
"270",0.84,6.04,6.06,3.74,"Ideal","D","SI2",61.8,56
"271",0.31,4.38,4.4,2.73,"Ideal","G","VS2",62.2,54
"272",0.31,4.34,4.37,2.68,"Ideal","G","SI1",61.6,55
"273",0.26,4.07,4.09,2.55,"Ideal","E","VVS2",62.5,55
"274",0.9,6.02,5.99,3.85,"Good","G","SI2",64.1,63
"275",0.61,5.47,5.53,3.38,"Ideal","F","VVS2",61.5,55
"276",0.73,5.79,5.82,3.58,"Ideal","F","SI1",61.7,55
"277",0.73,5.89,5.85,3.51,"Premium","D","VS2",59.8,58
"278",0.7,5.7,5.64,3.59,"Very Good","F","VVS1",63.3,56
"279",0.74,5.82,5.84,3.62,"Ideal","H","VS1",62.1,55
"280",0.91,6.22,6.3,3.82,"Very Good","J","VS2",61,58
"281",1.04,6.42,6.35,4.08,"Good","H","I1",63.9,58
"282",0.72,5.76,5.79,3.53,"Ideal","F","VS1",61.1,56
"283",1,6.26,6.23,4.07,"Fair","F","SI2",65.1,55
"284",0.91,6.23,6.26,3.79,"Ideal","J","VS1",60.7,57
"285",0.7,5.74,5.77,3.41,"Very Good","F","VVS1",59.3,62
"286",0.67,5.61,5.65,3.47,"Ideal","G","IF",61.6,55
"287",0.72,5.76,5.79,3.55,"Ideal","H","VS1",61.6,56
"288",1,6.41,6.34,3.88,"Very Good","I","SI2",60.8,63
"289",0.7,5.73,5.75,3.51,"Ideal","D","VS1",61.1,57
"290",0.9,6.08,6.14,3.75,"Fair","H","SI1",61.4,61
"291",0.8,5.79,5.83,3.68,"Very Good","F","VS2",63.3,59.8
"292",0.89,6.13,6.24,3.82,"Good","E","SI2",61.6,60.9
"293",0.7,5.64,5.68,3.54,"Ideal","D","VS1",62.5,57
"294",0.83,6.02,6.1,3.68,"Ideal","F","SI1",60.7,57
"295",0.86,6.04,6.08,3.81,"Very Good","G","SI1",62.9,55
"296",0.7,5.71,5.67,3.51,"Premium","E","VVS1",61.7,59
"297",1.07,6.57,6.47,4.03,"Very Good","H","SI2",61.8,63
"298",0.7,5.68,5.73,3.53,"Ideal","I","VS2",61.9,57
"299",0.77,5.96,5.92,3.61,"Premium","G","VVS2",60.8,59
"300",0.91,6.41,6.24,3.6,"Good","H","VS2",56.9,61
"301",0.7,5.73,5.76,3.49,"Ideal","G","VVS1",60.7,57
"302",1,6.33,6.3,4.01,"Very Good","D","SI2",63.4,58
"303",0.73,5.8,5.86,3.55,"Ideal","G","VS2",60.9,57
"304",0.31,4.36,4.39,2.72,"Ideal","D","SI1",62.2,54
"305",0.3,4.28,4.31,2.72,"Good","G","VS1",63.3,56
"306",0.27,4.18,4.2,2.54,"Ideal","G","VVS2",60.8,57
"307",0.7,5.64,5.7,3.59,"Good","F","VVS1",63.3,56
"308",0.7,5.61,5.58,3.56,"Good","D","VVS2",63.6,57
"309",1.24,6.86,6.81,4.26,"Ideal","J","SI1",62.3,57
"310",0.93,6.26,6.17,3.81,"Premium","F","SI2",61.3,62
"311",0.71,5.71,5.75,3.56,"Ideal","D","VS2",62.1,56
"312",0.53,5.23,5.25,3.22,"Ideal","E","VVS1",61.5,54
"313",0.7,5.75,5.78,3.52,"Ideal","H","VVS2",61,56
"314",0.9,6.33,6.28,3.75,"Premium","G","SI2",59.5,61
"315",0.7,5.7,5.73,3.54,"Ideal","E","SI1",61.9,56
"316",0.92,6.23,6.19,3.88,"Ideal","J","VS1",62.4,56
"317",0.95,6.38,6.51,3.77,"Very Good","H","SI2",59,59
"318",0.99,6.42,6.34,3.87,"Fair","I","SI1",60.7,66
"319",0.91,6.01,6.27,3.88,"Good","G","SI2",63.2,61
"320",0.9,6.13,6.09,3.94,"Fair","E","SI2",64.5,57
"321",0.7,5.67,5.71,3.54,"Ideal","E","VS1",62.3,54
"322",0.83,6.01,5.98,3.73,"Premium","D","SI1",62.2,60
"323",0.9,6.09,6.13,3.88,"Very Good","G","SI2",63.5,57
"324",1.05,6.54,6.47,4.08,"Premium","H","SI2",62.8,56
"325",0.71,5.69,5.72,3.54,"Very Good","F","VVS2",62.1,60
"326",0.77,5.82,5.88,3.67,"Premium","F","VS1",62.7,58
"327",0.93,6.14,6.09,3.94,"Fair","G","SI1",64.4,57
"328",1,6.29,6.25,4.03,"Good","I","SI1",64.3,57
"329",0.8,5.96,6,3.68,"Ideal","E","SI1",61.5,58
"330",0.7,5.69,5.64,3.54,"Premium","D","VS1",62.5,59
"331",0.9,6.09,6.16,3.86,"Very Good","F","SI2",63,56
"332",0.7,5.76,5.81,3.53,"Ideal","E","VS2",61.1,56
"333",0.82,5.96,6,3.71,"Very Good","E","SI1",62,60
"334",0.93,6.17,6.26,3.81,"Good","F","SI2",61.3,62
"335",0.9,6.21,6.17,3.84,"Premium","H","SI1",62,55
"336",0.91,6.28,6.23,3.75,"Premium","E","SI2",60,60
"337",0.3,4.28,4.31,2.63,"Very Good","I","SI1",61.2,58
"338",0.3,4.32,4.34,2.7,"Ideal","I","VS2",62.4,55
"339",0.31,4.3,4.34,2.71,"Ideal","I","SI1",62.7,56
"340",0.34,4.42,4.46,2.79,"Very Good","F","SI1",62.8,56
"341",0.3,4.28,4.23,2.62,"Premium","I","VS1",61.6,61
"342",0.38,4.67,4.69,2.87,"Ideal","F","SI2",61.3,55
"343",0.9,5.97,5.92,3.95,"Fair","D","SI1",66.4,59
"344",0.78,5.98,6.02,3.59,"Very Good","E","SI1",59.8,57
"345",0.9,6.09,6.05,3.81,"Premium","H","SI1",62.8,62
"346",0.9,6.08,6.14,3.86,"Very Good","H","SI1",63.2,59
"347",0.9,6.19,6.23,3.8,"Very Good","G","SI2",61.2,57
"348",0.71,5.68,5.79,3.56,"Good","F","IF",62.1,62
"349",0.61,5.41,5.45,3.38,"Ideal","D","VVS2",62.2,54
"350",0.85,6.23,6.21,3.64,"Premium","D","SI2",58.5,60
"351",0.92,6.25,6.19,3.87,"Ideal","F","SI1",62.2,55
"352",1.14,6.56,6.54,4.22,"Fair","J","SI2",64.4,55
"353",0.72,5.64,5.73,3.6,"Very Good","G","IF",63.3,54
"354",0.9,6.16,6.12,3.72,"Premium","G","SI1",60.6,61
"355",1.01,6.31,6.26,4.03,"Good","I","SI2",64.1,58
"356",0.77,5.77,5.72,3.65,"Very Good","F","VVS2",63.5,59
"357",1.01,6.58,6.56,3.89,"Premium","H","SI1",59.2,58
"358",0.7,5.85,5.89,3.43,"Good","E","VS1",58.4,61
"359",1.01,6.38,6.31,4,"Premium","J","SI2",63,60
"360",0.91,6.17,6.2,3.79,"Premium","G","SI2",61.3,60
"361",0.71,5.72,5.76,3.56,"Very Good","G","VS1",62,53
"362",0.9,6.08,6.01,3.89,"Good","F","SI1",64.3,57
"363",0.8,5.98,6.03,3.7,"Premium","F","VS2",61.6,58
"364",0.71,5.69,5.73,3.53,"Ideal","G","VS1",61.8,57
"365",0.71,5.81,5.78,3.56,"Ideal","E","VS1",61.4,57
"366",0.91,6.23,6.28,3.75,"Very Good","E","SI2",60,60
"367",0.86,6.11,6.14,3.79,"Ideal","G","SI2",61.9,55
"368",1.02,6.51,6.43,3.81,"Premium","J","SI1",58.9,62
"369",0.51,5.14,5.18,3.2,"Ideal","D","IF",62,56
"370",0.9,6.06,6.13,3.8,"Very Good","H","SI1",62.3,63
"371",1,6.3,6.23,3.94,"Premium","E","SI2",62.9,61
"372",0.7,5.7,5.73,3.52,"Ideal","G","VS2",61.6,56
"373",0.3,4.25,4.29,2.69,"Very Good","E","VS1",63,57
"374",0.36,4.58,4.61,2.8,"Very Good","I","VS1",60.9,61
"375",0.3,4.26,4.28,2.72,"Good","F","VS1",63.7,56
"376",0.74,5.79,5.81,3.61,"Ideal","D","VS2",62.2,56
"377",0.94,6.23,6.17,3.87,"Premium","F","SI2",62.4,58
"378",0.9,6.15,6.08,3.82,"Premium","J","VVS2",62.5,61
"379",1.01,6.34,6.31,3.98,"Premium","I","SI2",62.9,58
"380",0.91,6.16,6.25,3.85,"Very Good","D","SI2",62,62
"381",1,6.34,6.41,3.96,"Ideal","J","SI2",62.1,56
"382",0.73,5.88,5.92,3.48,"Good","E","VS1",59,61
"383",0.73,5.75,5.78,3.55,"Ideal","E","VS2",61.7,57
"384",1,6.42,6.36,3.9,"Premium","H","SI2",61,60
