"","X","carat","cut","color","clarity","fdepth","table","price","length","width","depth"
"66",66,1.02,1,3,1,61.6,55,2856,6.49,6.43,3.98
"67",67,0.34,3,1,5,63.4,55,556,4.44,4.46,2.82
"68",68,0.31,1,3,2,61.6,54.8,557,4.35,4.37,2.69
"69",69,0.33,3,4,5,63.6,53,557,4.43,4.4,2.81
"70",70,0.81,2,6,5,61.3,57,2858,6.02,6.05,3.7
"71",71,0.9,5,7,1,64.5,56,2858,6.06,6,3.89
"72",72,0.6,1,1,4,61.9,54.9,2860,5.41,5.44,3.35
"73",73,0.8,2,6,5,62.6,58,2862,5.9,5.92,3.7
"74",74,0.91,3,4,6,64.3,58,2863,6.05,6.09,3.9
"75",75,0.9,4,2,6,59.8,62,2863,6.24,6.21,3.72
"76",76,0.71,1,1,2,62.2,55,2866,5.74,5.7,3.56
"77",77,0.82,1,6,1,62.3,56,2867,6.02,5.96,3.73
"78",78,0.73,1,7,4,61.3,57,2869,5.84,5.81,3.57
"79",79,0.73,2,1,5,61.3,58,2871,5.76,5.83,3.55
"80",80,0.7,1,5,5,61.4,54,2872,5.71,5.75,3.52
"81",81,0.9,5,4,5,65.7,58,2873,6.03,6,3.95
"82",82,0.7,1,6,2,61,55,2874,5.77,5.73,3.51
"83",83,0.72,2,3,2,62.2,54,2877,5.74,5.76,3.57
"84",84,0.63,4,1,8,60.3,62,2879,5.55,5.53,3.34
"85",85,0.71,2,1,6,60,59,2881,5.84,5.83,3.5
"86",86,0.84,2,6,5,63.8,57,2885,5.95,6,3.81
"87",87,0.7,2,1,6,63.5,54,2889,5.62,5.66,3.58
"88",88,0.8,4,6,5,61.5,60,2890,5.97,5.94,3.66
"89",89,0.71,2,6,2,62.6,55,2893,5.66,5.71,3.56
"90",90,0.76,1,6,5,61.4,56,2894,5.88,5.92,3.62
"91",91,0.77,4,1,5,60.9,58,2896,5.94,5.88,3.6
"92",92,0.77,1,5,5,62.6,57,2898,5.92,5.81,3.67
"93",93,0.8,4,6,5,62.7,58,2901,5.91,5.93,3.71
"94",94,0.72,1,5,5,61.9,55,2903,5.78,5.75,3.57
"95",95,0.86,2,4,2,61.2,58,2905,6.1,6.16,3.75
"96",96,0.72,1,3,3,62.8,57,2907,5.68,5.72,3.58
"97",97,0.25,4,1,2,61.5,60,558,4.04,4.02,2.48
"98",98,0.31,1,4,6,59.9,57,558,4.4,4.38,2.63
"99",99,0.31,1,3,5,62.9,56,558,4.31,4.27,2.7
"100",100,0.59,1,1,4,61.1,57,2911,5.39,5.41,3.3
"101",101,0.71,4,5,5,61.4,58,2913,5.75,5.79,3.54
"102",102,0.83,2,4,6,62,55,2915,6.03,6.06,3.74
"103",103,0.71,1,3,3,62.1,54,2918,5.7,5.76,3.56
"104",104,0.71,4,6,2,59.1,59,2920,5.88,5.83,3.46
"105",105,0.53,1,6,3,61.6,56,2922,5.24,5.18,3.21
"106",106,0.75,3,1,5,58.3,60,2923,5.94,5.99,3.48
"107",107,0.81,4,6,5,61.3,60,2926,6,5.94,3.66
"108",108,0.7,4,1,2,60.3,58,2930,5.7,5.74,3.45
"109",109,0.7,4,7,3,62,61,2932,5.71,5.62,3.51
"110",110,1.17,5,4,7,65.4,62,2935,6.68,6.57,4.33
"111",111,0.71,2,3,3,62.7,59,2938,5.65,5.67,3.55
"112",112,0.81,1,4,6,61.8,56,2939,6.02,5.99,3.71
"113",113,0.8,3,6,5,63.8,59,2941,5.83,5.87,3.73
"114",114,0.57,2,5,3,60.4,57,2945,5.39,5.44,3.27
"115",115,0.76,1,1,2,62.1,57,2947,5.82,5.87,3.63
"116",116,0.7,1,1,5,62,56,2948,5.68,5.7,3.53
"117",117,0.81,2,4,2,62.7,58,2950,5.9,5.96,3.72
"118",118,0.7,2,1,2,61.3,60,2952,5.68,5.7,3.49
"119",119,0.71,2,1,6,59.6,60,2954,5.8,5.85,3.47
"120",120,0.95,3,4,1,63.8,57,2956,6.13,6.23,3.94
"121",121,0.56,2,5,3,60.1,58,2959,5.36,5.42,3.24
"122",122,0.64,1,7,8,61.7,58,2960,5.52,5.56,3.42
"123",123,0.71,4,6,2,62.1,53,2961,5.77,5.7,3.56
"124",124,0.71,2,5,5,59.4,59,2964,5.78,5.81,3.44
"125",125,0.9,5,2,2,64.6,58,2964,6.12,6.06,3.93
"126",126,0.82,1,6,1,60.9,57,2966,6.06,6.02,3.68
"127",127,0.31,2,7,6,60.9,57,559,4.37,4.39,2.67
"128",128,0.24,1,7,8,61.6,57,559,3.99,4.02,2.46
"129",129,0.32,4,3,2,60.2,58,561,4.43,4.47,2.68
"130",130,0.7,3,6,2,63.8,58,2970,5.58,5.61,3.57
"131",131,0.75,1,7,2,62.3,57,2973,5.83,5.86,3.64
"132",132,0.7,4,6,4,62.2,58,2975,5.72,5.66,3.54
"133",133,0.76,4,5,6,60.9,58,2977,5.9,5.85,3.58
"134",134,0.64,3,6,8,58.6,61,2980,5.69,5.71,3.34
"135",135,0.9,2,2,6,63.1,57,2984,6.12,6.06,3.84
"136",136,0.77,4,1,5,61.7,58,2988,5.86,5.9,3.63
"137",137,0.7,2,1,6,62.8,56,2992,5.66,5.68,3.56
"138",138,0.71,2,6,6,59.6,56,2994,5.84,5.88,3.49
"139",139,0.74,1,4,6,61.9,55,2997,5.8,5.83,3.6
"140",140,0.71,1,6,5,61.9,56,2999,5.69,5.74,3.54
"141",141,0.7,4,5,2,61.6,61,3001,5.66,5.61,3.47
"142",142,0.8,4,7,6,60.6,59,3002,6.02,5.97,3.63
"143",143,0.92,4,5,1,60.2,61,3004,6.32,6.27,3.79
"144",144,0.71,1,4,4,60.7,57,3007,5.76,5.8,3.51
"145",145,0.61,1,7,3,61.2,56,3008,5.46,5.48,3.35
"146",146,0.73,2,7,2,60.7,55,3011,5.87,5.89,3.57
"147",147,0.75,1,3,5,61.9,55,3011,5.82,5.85,3.61
"148",148,0.71,1,6,2,61.1,57,3013,5.76,5.82,3.54
"149",149,0.78,1,3,4,61.7,55,3015,5.9,5.94,3.65
"150",150,1.12,4,7,7,60.3,60,3017,6.75,6.69,4.05
"151",151,0.77,4,6,6,62.4,59,3018,5.85,5.81,3.64
"152",152,0.9,2,2,6,63.1,59,3024,6.09,6.05,3.83
"153",153,0.59,1,1,4,61.8,57,3026,5.35,5.4,3.32
"154",154,0.72,4,7,2,58.9,58,3032,5.93,5.85,3.47
"155",155,0.92,5,4,6,64.4,58,3033,6.13,6.1,3.94
"156",156,0.74,1,1,6,62.6,56,3036,5.73,5.81,3.61
"157",157,0.32,4,4,4,60.7,59,561,4.4,4.43,2.68
"158",158,0.32,2,3,2,63,57,561,4.37,4.39,2.76
"159",159,0.32,1,3,2,61.9,55,561,4.4,4.42,2.73
"160",160,0.71,1,6,2,62.7,57,3041,5.66,5.7,3.56
"161",161,0.78,2,6,5,62.4,58,3045,5.83,5.86,3.65
"162",162,0.93,1,4,1,62.3,57,3047,6.22,6.2,3.87
"163",163,0.66,1,5,4,61.6,57,3049,5.64,5.57,3.45
"164",164,0.77,1,6,6,61.2,57,3052,5.93,5.97,3.64
"165",165,0.79,4,7,2,62.3,56,3053,5.94,5.87,3.68
"166",166,0.78,1,7,5,61.7,56,3056,5.9,5.93,3.65
"167",167,0.72,2,6,2,62.1,59,3059,5.69,5.74,3.55
"168",168,0.71,5,7,3,62.8,57,3062,5.67,5.57,3.53
"169",169,0.76,4,1,6,61.7,62,3064,5.85,5.82,3.6
"170",170,0.8,1,6,1,62.5,56,3066,5.94,5.99,3.73
"171",171,0.8,2,7,5,62.1,56,3071,6.01,5.85,3.68
"172",172,0.78,2,7,6,61.7,58,3074,5.87,5.92,3.64
"173",173,0.79,1,1,5,62.9,55,3075,5.93,5.86,3.71
"174",174,0.91,5,5,1,62.5,66,3079,6.08,6.01,3.78
"175",175,0.79,1,6,5,62,55,3081,5.93,5.95,3.68
"176",176,0.8,4,6,5,60.1,58,3082,6.07,6.05,3.64
"177",177,0.75,3,1,6,62.6,58,3084,5.73,5.78,3.6
"178",178,1.02,5,4,1,64.5,56,3084,6.28,6.25,4.04
"179",179,1.01,3,2,1,63.7,60,3088,6.4,6.29,4.05
"180",180,0.58,1,6,3,61.7,55,3090,5.36,5.39,3.31
"181",181,0.8,2,6,5,63.1,58,3093,5.89,5.93,3.73
"182",182,0.77,3,3,3,63.1,57,3096,5.83,5.86,3.69
"183",183,0.74,1,6,4,61.5,54,3101,5.84,5.86,3.6
"184",184,0.81,2,3,2,63.6,57,3104,5.87,5.9,3.74
"185",185,1.52,3,1,7,57.3,58,3105,7.53,7.42,4.28
"186",186,0.79,1,1,5,62.1,54,3107,5.92,5.96,3.69
"187",187,0.32,1,4,4,62.6,54,561,4.37,4.41,2.75
"188",188,0.32,2,1,5,62.2,57,561,4.38,4.43,2.74
"189",189,0.32,4,7,6,61.5,60,561,4.4,4.42,2.71
"190",190,0.7,4,6,3,61.9,59,3109,5.67,5.6,3.49
"191",191,0.71,1,1,6,61.6,57,3112,5.71,5.79,3.54
"192",192,0.7,3,1,6,60.3,60,3115,5.69,5.75,3.45
"193",193,1.16,5,3,1,68.2,55,3118,6.47,6.37,4.38
"194",194,0.76,3,7,2,60.3,60.7,3121,5.86,5.9,3.55
"195",195,0.71,1,6,6,61.8,56.2,3123,5.7,5.75,3.53
"196",196,0.93,4,2,6,61.1,59,3125,6.34,6.32,3.87
"197",197,0.7,1,5,6,61.5,56,3129,5.7,5.74,3.52
"198",198,0.72,1,3,2,61.6,55,3133,5.76,5.8,3.56
"199",199,0.8,4,7,6,59.6,59,3136,6.09,6,3.6
"200",200,0.71,1,5,6,62.3,56,3137,5.68,5.72,3.55
"201",201,0.73,1,6,2,61.1,57,3140,5.8,5.89,3.57
"202",202,1,4,7,1,61.5,56,3142,6.49,6.44,3.97
"203",203,0.7,1,3,6,61.2,56,3145,5.72,5.75,3.51
"204",204,0.78,4,5,5,60.9,55,3145,6,5.93,3.63
"205",205,0.7,3,1,2,61.2,58,3148,5.66,5.72,3.48
"206",206,0.72,1,6,6,61.3,56,3151,5.78,5.8,3.55
"207",207,0.95,2,2,5,63.4,55,3154,6.25,6.21,3.95
"208",208,0.77,1,5,5,62.3,56,3158,5.84,5.87,3.65
"209",209,0.9,1,2,6,61.3,57,3160,6.16,6.24,3.8
"210",210,0.9,3,7,1,63.3,59,3162,6.07,6.12,3.86
"211",211,0.92,4,3,5,60.7,59,3165,6.34,6.25,3.82
"212",212,0.72,4,6,2,62.2,57,3167,5.74,5.67,3.55
"213",213,0.76,1,1,5,61.8,57,3170,5.84,5.87,3.62
"214",214,0.75,1,7,5,61.8,55,3171,5.81,5.84,3.6
"215",215,1.01,4,7,1,60.1,58,3173,6.54,6.39,3.89
"216",216,1,5,2,5,65.3,57,3175,6.33,6.12,4.08
"217",217,0.32,4,4,4,62.1,59,561,4.35,4.38,2.71
"218",218,0.32,4,7,6,60.7,58,561,4.38,4.42,2.67
"219",219,0.26,2,6,3,61.3,58,562,4.13,4.16,2.54
"220",220,0.72,1,5,6,62.8,57,3179,5.68,5.73,3.58
"221",221,0.91,4,3,5,62.2,56,3180,6.23,6.18,3.86
"222",222,0.72,2,1,5,63.3,56,3183,5.67,5.71,3.6
"223",223,0.72,4,7,8,60.1,58,3185,5.89,5.86,3.53
"224",224,0.74,1,1,6,59.5,57,3189,5.92,5.94,3.53
"225",225,0.71,1,1,6,62.1,57,3191,5.71,5.75,3.56
"226",226,0.76,4,1,6,60.1,59,3192,6.01,5.97,3.6
"227",227,0.71,1,7,2,62.3,54,3195,5.68,5.72,3.55
"228",228,1.01,5,6,5,66.1,60,3197,6.15,6.13,4.06
"229",229,0.7,1,6,2,62.4,56,3199,5.67,5.65,3.53
"230",230,0.76,1,6,6,61,55,3201,5.92,5.89,3.6
"231",231,0.7,1,7,4,61,56,3205,5.74,5.77,3.51
"232",232,0.75,1,1,6,61.7,56,3206,5.84,5.86,3.61
"233",233,0.7,2,5,2,60.1,60,3208,5.73,5.76,3.45
"234",234,0.9,4,6,1,62.6,62,3210,6.06,6.01,3.78
"235",235,0.71,1,5,6,62.7,57,3212,5.7,5.75,3.59
"236",236,1.1,4,2,1,60,58,3216,6.77,6.66,4.03
"237",237,0.52,1,5,3,62,57,3218,5.15,5.17,3.2
"238",238,0.9,2,4,5,60.5,58,3220,6.22,6.27,3.78
"239",239,0.68,3,7,3,61.9,55,3225,5.63,5.68,3.5
"240",240,0.65,1,5,4,61.4,60,3228,5.54,5.57,3.41
"241",241,0.79,4,1,6,59.4,60,3230,6.08,6.05,3.6
"242",242,1.05,2,1,7,62.2,61,3234,6.48,6.51,4.04
"243",243,0.7,1,3,4,62.2,55,3235,5.71,5.76,3.57
"244",244,0.71,1,1,2,62.7,57,3238,5.66,5.69,3.56
"245",245,0.77,2,7,2,60.9,55,3243,5.9,5.96,3.61
"246",246,0.9,2,7,1,63.4,59,3246,6.08,6.04,3.84
"247",247,0.31,1,3,2,61.3,55,562,4.36,4.38,2.68
"248",248,0.3,1,1,5,62.3,57,564,4.28,4.32,2.68
"249",249,0.31,1,5,5,61.3,56,565,4.36,4.41,2.69
"250",250,0.76,1,5,6,63,56,3248,5.83,5.79,3.66
"251",251,0.73,1,6,5,61.7,55,3249,5.79,5.82,3.58
"252",252,0.9,2,4,5,63.3,59,3251,6.14,6.05,3.86
"253",253,0.7,1,7,6,61.5,57,3253,5.7,5.74,3.52
"254",254,0.73,1,5,6,61.9,56,3255,5.76,5.81,3.58
"255",255,1,3,6,1,59.4,64,3259,6.52,6.48,3.86
"256",256,0.75,1,1,6,62.4,57,3263,5.76,5.81,3.61
"257",257,1,5,4,6,65.7,58,3265,6.25,6.2,4.09
"258",258,0.9,3,6,1,63.1,57,3267,6.11,6.18,3.88
"259",259,0.96,4,2,5,60.3,59,3269,6.4,6.36,3.85
"260",260,1.1,4,4,1,59.3,62,3271,6.75,6.7,3.99
"261",261,0.72,1,3,2,61.6,56,3274,5.76,5.79,3.55
"262",262,0.9,4,4,5,59.6,60,3276,6.37,6.24,3.76
"263",263,0.91,5,3,5,65.3,62,3278,6.11,6.01,3.96
"264",264,0.92,5,6,1,65.3,58,3282,6.08,6.04,3.96
"265",265,0.72,1,3,8,62.1,58,3283,5.72,5.75,3.56
"266",266,1.04,3,2,6,58.2,64,3285,6.64,6.53,3.85
"267",267,0.9,5,4,4,60.9,66,3288,6.1,6.12,3.72
"268",268,0.77,4,5,6,61.8,58,3291,5.84,5.81,3.6
"269",269,1.01,5,1,1,64.6,59,3294,6.22,6.18,4.01
"270",270,0.7,5,5,4,58.5,62,3296,5.72,5.81,3.37
"271",271,0.7,1,4,6,61.9,57,3298,5.68,5.73,3.53
"272",272,0.96,5,7,5,69.7,59,3299,6.09,5.9,4.18
"273",273,0.9,2,7,1,62.1,58,3303,6.08,6.13,3.79
"274",274,0.71,1,1,6,62.1,55,3304,5.72,5.75,3.56
"275",275,0.76,1,5,5,62,57,3306,5.88,5.92,3.66
"276",276,0.66,2,1,3,61.8,55,3309,5.6,5.66,3.48
"277",277,0.3,3,7,2,63.4,55,565,4.26,4.32,2.72
"278",278,0.27,2,7,3,61,56,566,4.21,4.25,2.57
"279",279,0.38,2,2,6,60.5,60,566,4.64,4.68,2.82
"280",280,0.8,4,5,5,62.7,59,3312,5.89,5.85,3.68
"281",281,1.24,1,2,5,62.3,57,3312,6.86,6.81,4.26
"282",282,0.77,2,1,2,62,56,3318,5.88,5.92,3.66
"283",283,0.77,1,6,5,61.5,55,3321,5.88,5.92,3.63
"284",284,0.92,1,4,5,61.8,57,3323,6.27,6.25,3.87
"285",285,0.9,4,3,1,62.1,59,3326,6.13,6.04,3.78
"286",286,0.82,1,1,1,60.9,56,3328,6.06,6.12,3.71
"287",287,0.77,1,3,6,60.9,56,3332,5.89,5.94,3.61
"288",288,0.78,2,1,6,61.7,58,3334,5.9,5.93,3.65
"289",289,1.01,4,4,5,62.7,58,3337,6.4,6.33,3.99
"290",290,0.91,2,4,6,63,58,3340,6.07,6.15,3.85
"291",291,0.9,5,1,1,64.5,57,3342,6.13,6.09,3.94
"292",292,0.78,1,1,5,61.6,56,3345,5.94,6,3.68
"293",293,0.7,1,6,3,62.2,55,3348,5.69,5.66,3.53
"294",294,0.94,2,7,1,62.3,59,3351,6.2,6.26,3.88
"295",295,0.9,2,7,1,63.1,59,3353,6.11,6.16,3.87
"296",296,0.81,1,4,6,61.4,55,3355,6.03,6.06,3.71
"297",297,0.74,4,1,2,62.8,59,3357,5.76,5.68,3.59
"298",298,0.71,1,1,5,60.8,57,3360,5.8,5.84,3.54
"299",299,0.82,1,6,5,62.1,56,3361,6.04,6,3.74
"300",300,0.82,1,3,2,61.5,56,3364,6,6.04,3.7
"301",301,0.9,2,6,1,63,56,3368,6.09,6.16,3.86
"302",302,0.9,2,5,1,58.1,60,3371,6.24,6.26,3.63
"303",303,0.81,1,1,5,61.5,56,3373,6.01,6.03,3.7
"304",304,0.71,1,1,5,61.7,55,3376,5.73,5.77,3.55
"305",305,1.03,4,2,1,62,58,3378,6.47,6.52,4.03
"306",306,0.8,2,7,2,63.5,57,3381,5.87,5.91,3.74
"307",307,0.25,2,7,6,63,54,407,4.04,4.06,2.55
"308",308,0.31,2,7,1,62.3,57,408,4.33,4.37,2.71
"309",309,0.31,2,6,1,63,58,408,4.34,4.36,2.74
"310",310,0.3,2,4,2,61.8,63,567,4.29,4.26,2.64
"311",311,0.38,1,6,1,61.3,55,568,4.67,4.69,2.87
"312",312,0.9,2,4,6,63.2,54,3382,6.1,6.08,3.85
"313",313,0.9,4,7,1,62.8,61,3385,6.14,6.09,3.84
"314",314,0.77,1,6,2,62.1,57,3387,5.88,5.84,3.64
"315",315,0.74,2,7,2,60.9,59,3389,5.9,5.86,3.58
"316",316,0.91,4,7,5,58,59,3392,6.45,6.38,3.72
"317",317,1.01,4,3,1,61.9,61,3394,6.34,6.29,3.91
"318",318,0.9,2,4,6,62.4,58,3398,6.12,6.16,3.83
"319",319,0.9,3,1,5,64.3,62,3400,6,6.07,3.88
"320",320,0.75,1,1,2,62,55,3402,5.88,5.83,3.66
"321",321,0.72,2,7,8,63.3,54,3405,5.64,5.73,3.6
"322",322,0.91,3,5,1,64.1,62,3408,6.01,6.06,3.87
"323",323,1.07,1,3,7,62.1,55,3412,6.55,6.59,4.08
"324",324,1,4,2,5,62.7,57,3416,6.4,6.33,3.99
"325",325,0.86,5,7,6,66.5,54.1,3418,5.89,5.97,3.94
"326",326,0.78,2,1,2,60.9,57,3420,5.94,5.88,3.59
"327",327,0.9,3,1,1,61.9,62,3422,6.14,6.18,3.81
"328",328,0.76,1,3,2,61.6,56,3424,5.85,5.9,3.62
"329",329,1.02,3,3,1,58.6,64,3427,6.32,6.26,3.68
"330",330,0.78,2,6,6,62.2,58,3429,5.86,5.9,3.66
"331",331,0.71,1,7,2,61.8,57,3431,5.69,5.73,3.53
"332",332,0.79,3,6,2,57.7,58,3436,6.06,6.14,3.52
"333",333,0.82,1,6,5,61.3,55,3439,6.06,6.08,3.72
"334",334,0.76,1,5,6,61.2,57,3443,5.89,5.91,3.61
"335",335,0.9,4,7,1,60.4,58,3445,6.25,6.3,3.79
"336",336,0.9,2,3,5,62.6,58,3447,6.08,6.12,3.82
"337",337,0.72,2,7,4,60.1,60,3449,5.79,5.82,3.49
"338",338,0.7,4,7,4,59.3,54,3450,5.89,5.78,3.46
"339",339,0.9,3,6,1,63.9,55,3453,6.15,6.12,3.92
"340",340,0.36,2,3,6,60,62,568,4.58,4.62,2.76
"341",341,0.3,3,6,2,63.7,56,570,4.26,4.28,2.72
"342",342,0.78,1,5,1,61.4,57,3454,5.91,5.94,3.64
"343",343,0.9,4,6,1,61.1,54,3457,6.29,6.27,3.84
"344",344,0.82,2,7,2,63.3,56,3460,5.96,5.98,3.78
"345",345,0.74,4,1,2,61.1,58,3462,5.81,5.84,3.56
"346",346,0.9,2,4,1,60.5,56,3464,6.22,6.24,3.77
"347",347,0.9,3,6,1,65.9,60,3465,5.98,6.01,3.95
"348",348,0.77,1,3,2,61.3,56,3468,5.91,5.97,3.64
"349",349,0.73,3,1,2,60.8,61,3471,5.77,5.8,3.52
"350",350,0.9,5,5,1,64.9,57,3473,6.03,5.98,3.9
"351",351,1.01,5,6,1,64.8,55,3477,6.37,6.26,4.1
"352",352,0.72,1,7,2,61,55,3478,5.81,5.83,3.55
"353",353,0.9,2,3,1,62.3,61,3481,6.15,6.17,3.84
"354",354,1.01,3,4,2,64.2,60,3484,6.35,6.27,4.05
"355",355,0.77,2,5,6,61.2,59,3489,5.86,5.91,3.6
"356",356,0.72,1,7,3,62.2,54.4,3492,5.73,5.76,3.57
"357",357,0.72,1,5,6,62.6,58,3495,5.7,5.73,3.58
"358",358,0.74,2,5,6,62.2,59,3498,5.8,5.84,3.62
"359",359,0.83,1,6,5,61.7,57,3500,6.04,6.08,3.74
"360",360,0.85,1,1,5,62.8,56,3503,6.05,6.02,3.79
"361",361,1.01,2,7,1,63.1,55,3507,6.36,6.31,4
"362",362,0.55,3,5,8,58,62,3509,5.31,5.41,3.12
"363",363,1.01,3,7,1,60.8,63,3512,6.36,6.4,3.88
"364",364,0.71,1,6,6,61.8,55,3516,5.74,5.76,3.55
"365",365,0.9,2,4,6,63.3,58,3519,6.07,6.13,3.86
"366",366,1,1,1,7,61.8,56,3520,6.38,6.43,3.96
"367",367,0.71,3,5,2,59.2,56,3524,5.84,5.85,3.46
"368",368,1,3,3,1,63.9,58,3528,6.36,6.28,4.03
"369",369,1.03,1,4,1,59.8,56,3530,6.64,6.58,3.95
"370",370,0.32,1,7,5,62.6,55,571,4.41,4.38,2.75
"371",371,0.31,1,5,5,62,55,571,4.36,4.38,2.71
"372",372,0.78,1,6,6,60.4,58,3531,6,5.95,3.61
"373",373,1.02,3,2,1,63.4,56,3534,6.36,6.42,4.05
"374",374,0.7,3,6,3,61.2,61,3536,5.71,5.79,3.52
"375",375,0.78,4,1,2,62.2,58,3538,5.9,5.86,3.66
"376",376,0.64,2,1,4,61.8,59,3541,5.51,5.53,3.41
"377",377,0.95,2,4,5,61,61,3544,6.29,6.37,3.86
"378",378,1.01,3,1,1,63.9,58,3546,6.31,6.37,4.05
"379",379,0.76,2,7,4,62.3,57,3549,5.79,5.84,3.62
"380",380,1.03,4,4,2,61.6,58,3553,6.5,6.42,3.98
"381",381,0.83,4,5,5,59.7,59,3556,6.14,6.12,3.66
"382",382,0.93,2,4,2,62.5,58,3562,6.2,6.25,3.89
"383",383,1.01,4,6,1,60.2,61,3563,6.49,6.43,3.89
"384",384,0.7,2,5,2,61.2,56,3567,5.68,5.75,3.5
"385",385,0.83,1,3,3,61.7,57,3570,6.02,6.07,3.73
"386",386,0.91,1,4,5,62.4,56,3574,6.2,6.24,3.88
"387",387,0.82,4,1,6,62.6,60,3577,5.97,5.91,3.72
"388",388,0.9,2,4,5,62.3,58,3580,6.12,6.17,3.83
"389",389,1.02,4,3,5,62.2,52,3581,6.47,6.43,4.01
"390",390,1,3,3,1,63.9,55,3584,6.41,6.34,4.07
"391",391,0.9,1,2,2,61.6,55,3587,6.24,6.27,3.85
